filename,auroc,f1,ap,n_crack,n_normal,threshold
avaria_10.ply,1.0,1.0,1.0,1063,6908,0.5978
avaria_12.ply,0.9863,0.8154,0.6883,435,7201,1.0
avaria_13.ply,0.8733,0.352,0.2136,765,11115,1.0
avaria_17.ply,0.568,0.1242,0.0637,1259,23108,1.0
avaria_19.ply,0.905,0.6186,0.546,2155,20759,0.9988
avaria_2.ply,1.0,1.0,1.0,1109,22879,0.9176
avaria_20.ply,0.9638,0.4367,0.2761,374,15135,1.0
avaria_21.ply,0.8617,0.3821,0.2343,59,1492,0.9946
avaria_22.ply,0.9449,0.4785,0.2622,457,13006,0.9961
avaria_24.ply,0.921,0.5063,0.2785,810,12399,0.9969
avaria_26.ply,0.8018,0.4018,0.2123,730,10086,0.998
avaria_27.ply,0.9044,0.3194,0.1367,305,15522,0.9052
avaria_28.ply,0.9271,0.4259,0.1992,342,14513,0.956
avaria_29.ply,0.9444,0.3485,0.1447,168,13979,0.9862
avaria_3.ply,1.0,0.9997,0.9994,1814,22110,0.9716
avaria_30.ply,0.9641,0.6617,0.4286,573,20157,0.9956
avaria_31.ply,0.9979,0.9584,0.9202,369,7577,1.0
avaria_32.ply,0.0022,0.0318,0.0084,381,23192,0.0
avaria_33.ply,0.652,0.1845,0.0816,1323,22347,0.0189
avaria_34.ply,1.0,1.0,1.0,1303,14686,0.8101
avaria_35.ply,0.9999,0.9999,0.9984,3866,13996,0.5397
avaria_36.ply,0.7551,0.2781,0.1502,1190,13965,0.9995
avaria_37.ply,0.9737,0.836,0.6123,502,5573,0.9996
avaria_38.ply,0.9686,0.6617,0.3242,573,18638,0.9999
avaria_39.ply,0.9688,0.4229,0.2681,403,17604,1.0
avaria_4.ply,0.9999,0.9992,0.9966,1813,14862,0.9607
avaria_40.ply,0.7054,0.1964,0.1089,611,8484,1.0
avaria_41.ply,1.0,1.0,1.0,3774,12581,0.0489
avaria_42.ply,0.0,0.8401,0.5165,6974,2654,0.0017
avaria_6.ply,1.0,1.0,1.0,664,4512,0.7502
avaria_7.ply,1.0,0.9995,0.9993,1109,22814,0.9991
avaria_9.ply,0.9554,0.6033,0.432,946,13952,1.0
