filename,macro_f1,weighted_f1,miou,auroc_ovr,f1_micro,f1_fissu,f1_trinc,f1_racha,f1_norma
avaria_10.ply,0.6291,0.9107,0.5667,nan,0.0,0.0,0.6016,0.949,0.9658
avaria_12.ply,0.4443,0.928,0.3841,nan,0.0,0.0,0.0,0.3729,0.9601
avaria_13.ply,0.8516,0.9879,0.7662,nan,0.0,0.0,0.6651,0.8928,0.997
avaria_17.ply,0.3022,0.2727,0.2189,nan,0.0,0.0,0.0,0.6845,0.5242
avaria_19.ply,0.2093,0.5319,0.1712,nan,0.0,0.0,0.0,0.0385,0.7989
avaria_2.ply,0.6921,0.9828,0.6473,nan,0.0,0.0,0.8403,0.9336,0.9945
avaria_20.ply,0.3456,0.9569,0.3325,nan,0.0,0.0,0.0,0.0516,0.9853
avaria_21.ply,0.5774,0.9043,0.528,nan,0.0,0.0,0.3684,0.9788,0.9624
avaria_22.ply,0.3737,0.9246,0.3261,nan,0.0,0.0,0.0,0.5181,0.9768
avaria_24.ply,0.3486,0.8568,0.2984,nan,0.0,0.0,0.0,0.4415,0.953
avaria_26.ply,0.3184,0.6537,0.269,nan,0.0,0.0,0.0,0.0924,0.8627
avaria_27.ply,0.8349,0.9891,0.7498,nan,0.0,0.0,0.6072,0.899,0.9985
avaria_28.ply,0.6027,0.9791,0.5581,nan,0.0,0.0,0.0,0.8149,0.9933
avaria_29.ply,0.4509,0.9815,0.4177,nan,0.0,0.0,0.0,0.805,0.9986
avaria_3.ply,0.4174,0.966,0.3739,nan,0.0,0.0,0.0,0.6793,0.9905
avaria_30.ply,0.377,0.958,0.3349,nan,0.0,0.0,0.0,0.5092,0.999
avaria_31.ply,0.3042,0.9249,0.2696,nan,0.0,0.0,0.0,0.25,0.9667
avaria_32.ply,0.3567,0.9852,0.3173,nan,0.0,0.0,0.0,0.4289,0.998
avaria_33.ply,0.1044,0.1101,0.0659,nan,0.0,0.0,0.0,0.0,0.4175
avaria_34.ply,0.666,0.9483,0.6069,nan,0.0,0.0,0.7756,0.9032,0.985
avaria_35.ply,0.4067,0.8024,0.3415,nan,0.0,0.0,0.0617,0.6356,0.9295
avaria_36.ply,0.6626,0.9656,0.6031,nan,0.0,0.0,0.7628,0.8946,0.9933
avaria_37.ply,0.6151,0.9443,0.5517,nan,0.0,0.0,0.0712,0.7956,0.9783
avaria_38.ply,0.7496,0.9829,0.6891,nan,0.0,0.0,0.3089,0.9502,0.9897
avaria_39.ply,0.3556,0.9758,0.3155,nan,0.0,0.0,0.0,0.4271,0.9952
avaria_4.ply,0.5727,0.9145,0.4965,nan,0.0,0.0,0.4743,0.8469,0.9695
avaria_40.ply,0.2556,0.9214,0.2435,nan,0.0,0.0,0.0,0.0488,0.9738
avaria_41.ply,0.5972,0.8269,0.5105,nan,0.0,0.0,0.6235,0.8254,0.9398
avaria_42.ply,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0
avaria_6.ply,0.5133,0.8546,0.4318,nan,0.0,0.0,0.3364,0.7696,0.9472
avaria_7.ply,0.3445,0.9449,0.3035,nan,0.0,0.0,0.0,0.394,0.9842
avaria_9.ply,0.8352,0.9865,0.7398,nan,0.0,0.0,0.6734,0.8335,0.9987
