filename,thr,f1,p,r,mcc,bal_acc,auroc,ap
avaria_10.ply,0.05,0.5422,0.5588,0.5265,0.4749,0.7315,0.883,0.5998
avaria_12.ply,0.05,0.7803,0.8778,0.7023,0.7738,0.8481,0.9921,0.7966
avaria_13.ply,0.05,0.4689,0.5786,0.3942,0.4476,0.6868,0.9262,0.4477
avaria_17.ply,0.05,0.0785,0.0548,0.1382,0.0223,0.5171,0.5017,0.0448
avaria_19.ply,0.05,0.0395,0.3831,0.0208,0.0649,0.5081,0.7398,0.2453
avaria_2.ply,0.07,0.461,0.4696,0.4526,0.4427,0.7175,0.9298,0.478
avaria_20.ply,0.09,0.3202,0.2484,0.4501,0.3139,0.7093,0.9193,0.2033
avaria_21.ply,0.05,0.0278,0.0206,0.0426,-0.0634,0.4561,0.5791,0.0689
avaria_22.ply,0.08,0.2539,0.1985,0.3523,0.2314,0.6521,0.829,0.1524
avaria_24.ply,0.06,0.3392,0.2326,0.6267,0.3177,0.7459,0.854,0.2114
avaria_26.ply,0.05,0.2575,0.1764,0.4769,0.2043,0.6572,0.7374,0.1534
avaria_27.ply,0.06,0.237,0.2065,0.278,0.2229,0.6288,0.825,0.1123
avaria_28.ply,0.05,0.3157,0.2433,0.4492,0.3106,0.709,0.89,0.1713
avaria_29.ply,0.07,0.2953,0.2005,0.5605,0.3235,0.7677,0.922,0.1317
avaria_3.ply,0.05,0.7146,0.8428,0.6203,0.7132,0.8077,0.9661,0.8011
avaria_30.ply,0.07,0.5022,0.4329,0.5979,0.4924,0.7877,0.8946,0.3343
avaria_31.ply,0.1,0.7489,0.8528,0.6675,0.7439,0.8309,0.9772,0.8212
avaria_32.ply,0.1,0.67,0.8031,0.5746,0.6753,0.7862,0.9652,0.6992
avaria_33.ply,0.05,0.0947,0.0966,0.0929,0.0252,0.5123,0.5867,0.0897
avaria_34.ply,0.05,0.5212,0.9957,0.353,0.5763,0.6764,0.9626,0.8348
avaria_35.ply,0.05,0.4476,0.6956,0.33,0.406,0.6481,0.818,0.5835
avaria_36.ply,0.12,0.3531,0.3219,0.3909,0.2903,0.6584,0.8107,0.2862
avaria_37.ply,0.05,0.0694,0.2381,0.0407,0.0682,0.5146,0.7551,0.1708
avaria_38.ply,0.07,0.2316,0.1591,0.4252,0.2227,0.6771,0.8569,0.1429
avaria_39.ply,0.11,0.6831,0.7455,0.6304,0.6791,0.8128,0.9758,0.7432
avaria_4.ply,0.07,0.4647,0.4525,0.4775,0.3971,0.7032,0.85,0.4994
avaria_40.ply,0.05,0.1326,0.6866,0.0734,0.21,0.5354,0.8753,0.3944
avaria_41.ply,0.05,0.1287,0.9923,0.0688,0.2306,0.5343,0.9234,0.8088
avaria_42.ply,0.5,0.0,0.0,0.0,0.0,1.0,nan,nan
avaria_6.ply,0.06,0.4698,0.4898,0.4514,0.3633,0.6758,0.8081,0.5411
avaria_7.ply,0.06,0.5876,0.5861,0.5891,0.5665,0.784,0.9214,0.62
avaria_9.ply,0.05,0.4439,0.5329,0.3804,0.419,0.6787,0.8809,0.388
