filename,macro_f1,weighted_f1,miou,auroc_ovr,f1_micro,f1_fissu,f1_trinc,f1_racha,f1_norma
avaria_10.ply,0.0197,0.0032,0.0103,nan,0.0788,0.0,0.0,0.0,0.0
avaria_12.ply,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0
avaria_13.ply,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0
avaria_17.ply,0.1462,0.2416,0.1033,nan,0.5848,0.0,0.0,0.0,0.0
avaria_19.ply,0.0869,0.0732,0.0526,nan,0.3478,0.0,0.0,0.0,0.0
avaria_2.ply,0.0046,0.0002,0.0023,nan,0.0186,0.0,0.0,0.0,0.0
avaria_20.ply,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0
avaria_21.ply,0.0251,0.0053,0.0132,nan,0.1004,0.0,0.0,0.0,0.0
avaria_22.ply,0.0055,0.0002,0.0028,nan,0.0219,0.0,0.0,0.0,0.0
avaria_24.ply,0.012,0.0012,0.0062,nan,0.0482,0.0,0.0,0.0,0.0
avaria_26.ply,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0
avaria_27.ply,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0
avaria_28.ply,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0
avaria_29.ply,0.002,0.0,0.001,nan,0.0079,0.0,0.0,0.0,0.0
avaria_3.ply,0.004,0.0001,0.002,nan,0.016,0.0,0.0,0.0,0.0
avaria_30.ply,0.0091,0.0007,0.0046,nan,0.0365,0.0,0.0,0.0,0.0
avaria_31.ply,0.0079,0.0005,0.004,nan,0.0315,0.0,0.0,0.0,0.0
avaria_32.ply,0.0025,0.0001,0.0013,nan,0.0101,0.0,0.0,0.0,0.0
avaria_33.ply,0.0357,0.011,0.0192,nan,0.1429,0.0,0.0,0.0,0.0
avaria_34.ply,0.0148,0.0018,0.0076,nan,0.0592,0.0,0.0,0.0,0.0
avaria_35.ply,0.033,0.0093,0.0177,nan,0.1321,0.0,0.0,0.0,0.0
avaria_36.ply,0.0093,0.0007,0.0047,nan,0.037,0.0,0.0,0.0,0.0
avaria_37.ply,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0
avaria_38.ply,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0
avaria_39.ply,0.005,0.0002,0.0025,nan,0.02,0.0,0.0,0.0,0.0
avaria_4.ply,0.0166,0.0023,0.0086,nan,0.0662,0.0,0.0,0.0,0.0
avaria_40.ply,0.0072,0.0004,0.0036,nan,0.0286,0.0,0.0,0.0,0.0
avaria_41.ply,0.0398,0.0137,0.0216,nan,0.159,0.0,0.0,0.0,0.0
avaria_42.ply,1.0,1.0,1.0,nan,1.0,0.0,0.0,0.0,0.0
avaria_6.ply,0.0217,0.0039,0.0114,nan,0.0869,0.0,0.0,0.0,0.0
avaria_7.ply,0.007,0.0004,0.0035,nan,0.0279,0.0,0.0,0.0,0.0
avaria_9.ply,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0
