arquivo,n_pontos,n_rachaduras,pct_rachadura,severidade
avaria_10.ply,7971,465,5.83,media
avaria_12.ply,7636,567,7.43,media
avaria_13.ply,11880,2521,21.22,alta
avaria_17.ply,24367,19234,78.93,alta
avaria_19.ply,22914,16937,73.92,alta
avaria_2.ply,23988,1201,5.01,media
avaria_20.ply,15509,5432,35.02,alta
avaria_21.ply,1551,425,27.4,alta
avaria_22.ply,13463,4266,31.69,alta
avaria_24.ply,13209,3797,28.75,alta
avaria_26.ply,10816,3742,34.6,alta
avaria_27.ply,15827,2222,14.04,alta
avaria_28.ply,14855,3217,21.66,alta
avaria_29.ply,14147,5680,40.15,alta
avaria_3.ply,23924,871,3.64,media
avaria_30.ply,20730,3584,17.29,alta
avaria_31.ply,7946,1218,15.33,alta
avaria_32.ply,23573,8197,34.77,alta
avaria_33.ply,23670,17797,75.19,alta
avaria_34.ply,15989,735,4.6,media
avaria_35.ply,17862,2465,13.8,alta
avaria_36.ply,15155,9760,64.4,alta
avaria_37.ply,6075,914,15.05,alta
avaria_38.ply,19211,2277,11.85,alta
avaria_39.ply,18007,4348,24.15,alta
avaria_4.ply,16675,2835,17.0,alta
avaria_40.ply,9095,4288,47.15,alta
avaria_41.ply,16355,2525,15.44,alta
avaria_42.ply,9628,4437,46.08,alta
avaria_6.ply,5176,1206,23.3,alta
avaria_7.ply,23923,2211,9.24,media
avaria_9.ply,14898,2562,17.2,alta
