arquivo,n_pontos,n_rachaduras,pct_rachadura,severidade
avaria_10.ply,7971,1054,13.22,alta
avaria_12.ply,7636,447,5.85,media
avaria_13.ply,11880,867,7.3,media
avaria_17.ply,24367,931,3.82,media
avaria_19.ply,22914,2929,12.78,alta
avaria_2.ply,23988,787,3.28,media
avaria_20.ply,15509,486,3.13,media
avaria_21.ply,1551,9,0.58,baixa
avaria_22.ply,13463,513,3.81,media
avaria_24.ply,13209,894,6.77,media
avaria_26.ply,10816,800,7.4,media
avaria_27.ply,15827,295,1.86,baixa
avaria_28.ply,14855,325,2.19,baixa
avaria_29.ply,14147,157,1.11,baixa
avaria_3.ply,23924,981,4.1,media
avaria_30.ply,20730,512,2.47,baixa
avaria_31.ply,7946,386,4.86,media
avaria_32.ply,23573,355,1.51,baixa
avaria_33.ply,23670,1262,5.33,media
avaria_34.ply,15989,1293,8.09,media
avaria_35.ply,17862,3379,18.92,alta
avaria_36.ply,15155,1798,11.86,alta
avaria_37.ply,6075,492,8.1,media
avaria_38.ply,19211,596,3.1,media
avaria_39.ply,18007,565,3.14,media
avaria_4.ply,16675,1772,10.63,alta
avaria_40.ply,9095,1199,13.18,alta
avaria_41.ply,16355,2569,15.71,alta
avaria_42.ply,9628,1142,11.86,alta
avaria_6.ply,5176,903,17.45,alta
avaria_7.ply,23923,1158,4.84,media
avaria_9.ply,14898,986,6.62,media
