arquivo,n_pontos,n_rachaduras,pct_rachadura,severidade
avaria_10.ply,7971,563,7.06,media
avaria_12.ply,7636,954,12.49,alta
avaria_13.ply,11880,4293,36.14,alta
avaria_17.ply,24367,14664,60.18,alta
avaria_19.ply,22914,11408,49.79,alta
avaria_2.ply,23988,8,0.03,baixa
avaria_20.ply,15509,7339,47.32,alta
avaria_21.ply,1551,101,6.51,media
avaria_22.ply,13463,2103,15.62,alta
avaria_24.ply,13209,1984,15.02,alta
avaria_26.ply,10816,2871,26.54,alta
avaria_27.ply,15827,2609,16.48,alta
avaria_28.ply,14855,2238,15.07,alta
avaria_29.ply,14147,3997,28.25,alta
avaria_3.ply,23924,1431,5.98,media
avaria_30.ply,20730,775,3.74,media
avaria_31.ply,7946,770,9.69,media
avaria_32.ply,23573,2311,9.8,media
avaria_33.ply,23670,3045,12.86,alta
avaria_34.ply,15989,1104,6.9,media
avaria_35.ply,17862,1557,8.72,media
avaria_36.ply,15155,6348,41.89,alta
avaria_37.ply,6075,868,14.29,alta
avaria_38.ply,19211,4540,23.63,alta
avaria_39.ply,18007,5865,32.57,alta
avaria_4.ply,16675,1158,6.94,media
avaria_40.ply,9095,4698,51.65,alta
avaria_41.ply,16355,2145,13.12,alta
avaria_42.ply,9628,2453,25.48,alta
avaria_6.ply,5176,645,12.46,alta
avaria_7.ply,23923,3682,15.39,alta
avaria_9.ply,14898,4175,28.02,alta
