arquivo,categoria,abertura_mm,profundidade_mm,severidade_pct,risco,conforme_abnt
avaria_10.ply,Rachadura,14.8202,129.4754,7.06,Crítico — intervenção imediata,False
avaria_12.ply,Rachadura,24.9953,21.1552,12.49,Crítico — intervenção imediata,False
avaria_13.ply,Rachadura,14.3416,32.0798,36.14,Crítico — intervenção imediata,False
avaria_17.ply,Rachadura,5.4536,12.0873,60.18,Crítico — intervenção imediata,False
avaria_19.ply,Rachadura,7.0790,163.7049,49.79,Crítico — intervenção imediata,False
avaria_2.ply,Rachadura,5.7236,564.0408,0.03,Crítico — intervenção imediata,False
avaria_20.ply,Rachadura,12.1275,160.7540,47.32,Crítico — intervenção imediata,False
avaria_21.ply,Rachadura,10.4065,40.6371,6.51,Crítico — intervenção imediata,False
avaria_22.ply,Rachadura,21.7454,207.2249,15.62,Crítico — intervenção imediata,False
avaria_24.ply,Rachadura,20.5538,273.3472,15.02,Crítico — intervenção imediata,False
avaria_26.ply,Rachadura,18.7692,219.0279,26.54,Crítico — intervenção imediata,False
avaria_27.ply,Rachadura,8.5382,19.5073,16.48,Crítico — intervenção imediata,False
avaria_28.ply,Rachadura,8.9323,21.5159,15.07,Crítico — intervenção imediata,False
avaria_29.ply,Rachadura,8.7367,22.2900,28.25,Crítico — intervenção imediata,False
avaria_3.ply,Rachadura,15.0662,386.0725,5.98,Crítico — intervenção imediata,False
avaria_30.ply,Rachadura,22.3593,20.6045,3.74,Crítico — intervenção imediata,False
avaria_31.ply,Rachadura,13.1214,16.6147,9.69,Crítico — intervenção imediata,False
avaria_32.ply,Rachadura,8.4818,123.5372,9.80,Crítico — intervenção imediata,False
avaria_33.ply,Rachadura,9.4724,497.3375,12.86,Crítico — intervenção imediata,False
avaria_34.ply,Rachadura,14.9836,228.8707,6.90,Crítico — intervenção imediata,False
avaria_35.ply,Rachadura,9.6088,151.6116,8.72,Crítico — intervenção imediata,False
avaria_36.ply,Rachadura,11.6834,549.7454,41.89,Crítico — intervenção imediata,False
avaria_37.ply,Rachadura,19.4414,94.5997,14.29,Crítico — intervenção imediata,False
avaria_38.ply,Rachadura,10.7431,110.0548,23.63,Crítico — intervenção imediata,False
avaria_39.ply,Rachadura,8.8859,16.5961,32.57,Crítico — intervenção imediata,False
avaria_4.ply,Rachadura,12.6780,479.9504,6.94,Crítico — intervenção imediata,False
avaria_40.ply,Rachadura,12.9602,136.4415,51.65,Crítico — intervenção imediata,False
avaria_41.ply,Rachadura,15.3378,106.7256,13.12,Crítico — intervenção imediata,False
avaria_42.ply,Rachadura,9.4850,85.1487,25.48,Crítico — intervenção imediata,False
avaria_6.ply,Rachadura,11.7173,13.0000,12.46,Crítico — intervenção imediata,False
avaria_7.ply,Rachadura,10.0009,369.5565,15.39,Crítico — intervenção imediata,False
avaria_9.ply,Rachadura,9.4413,19.8164,28.02,Crítico — intervenção imediata,False
