arquivo,categoria,abertura_mm,profundidade_mm,severidade_pct,risco,conforme_abnt
avaria_10.ply,Indeterminado,nan,nan,17.01,Indeterminado,
avaria_12.ply,Indeterminado,nan,nan,6.81,Indeterminado,
avaria_13.ply,Indeterminado,nan,nan,8.27,Indeterminado,
avaria_17.ply,Indeterminado,nan,nan,4.76,Indeterminado,
avaria_19.ply,Indeterminado,nan,nan,19.18,Indeterminado,
avaria_2.ply,Indeterminado,nan,nan,8.23,Indeterminado,
avaria_20.ply,Indeterminado,nan,nan,20.76,Indeterminado,
avaria_21.ply,Indeterminado,nan,nan,31.59,Indeterminado,
avaria_22.ply,Indeterminado,nan,nan,9.55,Indeterminado,
avaria_23.ply,Indeterminado,nan,nan,9.55,Indeterminado,
avaria_24.ply,Indeterminado,nan,nan,13.02,Indeterminado,
avaria_25.ply,Indeterminado,nan,nan,13.02,Indeterminado,
avaria_26.ply,Indeterminado,nan,nan,16.39,Indeterminado,
avaria_27.ply,Indeterminado,nan,nan,5.20,Indeterminado,
avaria_28.ply,Indeterminado,nan,nan,6.11,Indeterminado,
avaria_29.ply,Indeterminado,nan,nan,7.27,Indeterminado,
avaria_3.ply,Indeterminado,nan,nan,8.94,Indeterminado,
avaria_30.ply,Indeterminado,nan,nan,6.68,Indeterminado,
avaria_31.ply,Indeterminado,nan,nan,8.86,Indeterminado,
avaria_32.ply,Indeterminado,nan,nan,6.22,Indeterminado,
avaria_33.ply,Indeterminado,nan,nan,18.39,Indeterminado,
avaria_34.ply,Indeterminado,nan,nan,4.68,Indeterminado,
avaria_35.ply,Indeterminado,nan,nan,17.14,Indeterminado,
avaria_36.ply,Indeterminado,nan,nan,12.38,Indeterminado,
avaria_37.ply,Indeterminado,nan,nan,21.71,Indeterminado,
avaria_38.ply,Indeterminado,nan,nan,5.57,Indeterminado,
avaria_39.ply,Indeterminado,nan,nan,4.82,Indeterminado,
avaria_4.ply,Indeterminado,nan,nan,13.97,Indeterminado,
avaria_40.ply,Indeterminado,nan,nan,11.15,Indeterminado,
avaria_41.ply,Indeterminado,nan,nan,11.38,Indeterminado,
avaria_42.ply,Indeterminado,nan,nan,18.70,Indeterminado,
avaria_5.ply,Indeterminado,nan,nan,17.14,Indeterminado,
avaria_6.ply,Indeterminado,nan,nan,18.95,Indeterminado,
avaria_7.ply,Indeterminado,nan,nan,11.75,Indeterminado,
avaria_9.ply,Indeterminado,nan,nan,8.20,Indeterminado,
