arquivo,categoria,abertura_mm,profundidade_mm,severidade_pct,risco,conforme_abnt
avaria_10.ply,Rachadura,13.7230,123.7729,8.87,Crítico — intervenção imediata,False
avaria_12.ply,Rachadura,18.6852,24.8442,5.51,Crítico — intervenção imediata,False
avaria_13.ply,Rachadura,17.2171,25.7646,1.75,Crítico — intervenção imediata,False
avaria_17.ply,Rachadura,6.5676,12.0411,4.49,Crítico — intervenção imediata,False
avaria_19.ply,Rachadura,7.9330,165.7902,11.22,Crítico — intervenção imediata,False
avaria_2.ply,Rachadura,7.4576,583.5291,5.24,Crítico — intervenção imediata,False
avaria_20.ply,Rachadura,12.5852,157.5708,15.38,Crítico — intervenção imediata,False
avaria_21.ply,Rachadura,6.4969,44.8408,25.66,Crítico — intervenção imediata,False
avaria_22.ply,Rachadura,14.1670,181.9752,9.23,Crítico — intervenção imediata,False
avaria_23.ply,Rachadura,14.1670,181.9752,9.23,Crítico — intervenção imediata,False
avaria_24.ply,Rachadura,15.0093,288.7569,8.44,Crítico — intervenção imediata,False
avaria_25.ply,Rachadura,15.0093,288.7569,8.44,Crítico — intervenção imediata,False
avaria_26.ply,Rachadura,16.3962,215.3982,19.28,Crítico — intervenção imediata,False
avaria_27.ply,Rachadura,8.6633,13.7488,4.95,Crítico — intervenção imediata,False
avaria_28.ply,Rachadura,8.6068,20.6768,5.69,Crítico — intervenção imediata,False
avaria_29.ply,Rachadura,9.2259,16.2476,6.49,Crítico — intervenção imediata,False
avaria_3.ply,Rachadura,6.7682,442.1622,10.37,Crítico — intervenção imediata,False
avaria_30.ply,Rachadura,9.4275,18.5057,5.61,Crítico — intervenção imediata,False
avaria_31.ply,Rachadura,7.6181,18.8006,8.73,Crítico — intervenção imediata,False
avaria_32.ply,Rachadura,7.8345,125.1443,7.91,Crítico — intervenção imediata,False
avaria_33.ply,Rachadura,6.8856,696.9189,23.57,Crítico — intervenção imediata,False
avaria_34.ply,Rachadura,11.1678,222.3529,4.56,Crítico — intervenção imediata,False
avaria_35.ply,Rachadura,11.6510,158.7910,11.72,Crítico — intervenção imediata,False
avaria_36.ply,Rachadura,10.7460,501.1365,9.59,Crítico — intervenção imediata,False
avaria_37.ply,Rachadura,13.0209,103.6510,9.37,Crítico — intervenção imediata,False
avaria_38.ply,Rachadura,10.1922,111.0642,1.28,Crítico — intervenção imediata,False
avaria_39.ply,Rachadura,7.9738,16.3778,4.56,Crítico — intervenção imediata,False
avaria_4.ply,Rachadura,12.3198,470.2692,10.09,Crítico — intervenção imediata,False
avaria_40.ply,Rachadura,12.4916,144.7560,6.01,Crítico — intervenção imediata,False
avaria_41.ply,Rachadura,9.7779,107.6635,10.12,Crítico — intervenção imediata,False
avaria_42.ply,Rachadura,7.2649,98.3985,16.96,Crítico — intervenção imediata,False
avaria_5.ply,Rachadura,11.6510,158.7910,11.72,Crítico — intervenção imediata,False
avaria_6.ply,Rachadura,9.2800,13.1463,18.32,Crítico — intervenção imediata,False
avaria_7.ply,Rachadura,6.7440,444.8477,10.94,Crítico — intervenção imediata,False
avaria_9.ply,Rachadura,9.9343,19.5850,2.94,Crítico — intervenção imediata,False
