arquivo,categoria,abertura_mm,profundidade_mm,severidade_pct,risco,conforme_abnt
avaria_10.ply,Rachadura,11.2034,135.2305,7.84,Crítico — intervenção imediata,False
avaria_12.ply,Rachadura,19.6434,21.0182,18.28,Crítico — intervenção imediata,False
avaria_13.ply,Rachadura,11.5368,32.2427,61.06,Crítico — intervenção imediata,False
avaria_17.ply,Rachadura,6.8964,12.0516,83.65,Crítico — intervenção imediata,False
avaria_19.ply,Rachadura,7.5432,165.0070,61.02,Crítico — intervenção imediata,False
avaria_2.ply,Rachadura,7.4567,588.2912,7.42,Crítico — intervenção imediata,False
avaria_20.ply,Rachadura,12.5837,161.1527,55.03,Crítico — intervenção imediata,False
avaria_21.ply,Rachadura,9.9052,39.5802,14.25,Crítico — intervenção imediata,False
avaria_22.ply,Rachadura,15.1435,199.0627,40.73,Crítico — intervenção imediata,False
avaria_24.ply,Rachadura,15.0095,266.1079,34.15,Crítico — intervenção imediata,False
avaria_26.ply,Rachadura,17.2230,226.4712,34.95,Crítico — intervenção imediata,False
avaria_27.ply,Rachadura,8.4542,19.4723,14.70,Crítico — intervenção imediata,False
avaria_28.ply,Rachadura,8.2691,21.4155,15.25,Crítico — intervenção imediata,False
avaria_29.ply,Rachadura,9.0645,19.3276,21.62,Crítico — intervenção imediata,False
avaria_3.ply,Rachadura,16.2724,404.8217,5.63,Crítico — intervenção imediata,False
avaria_30.ply,Rachadura,21.8215,20.5971,3.80,Crítico — intervenção imediata,False
avaria_31.ply,Rachadura,12.0508,17.7796,13.35,Crítico — intervenção imediata,False
avaria_32.ply,Rachadura,7.6362,127.4283,18.36,Crítico — intervenção imediata,False
avaria_33.ply,Rachadura,7.8375,516.4835,59.95,Crítico — intervenção imediata,False
avaria_34.ply,Rachadura,10.2960,234.8328,12.56,Crítico — intervenção imediata,False
avaria_35.ply,Rachadura,9.6087,155.8807,11.69,Crítico — intervenção imediata,False
avaria_36.ply,Rachadura,9.7208,495.6986,86.55,Crítico — intervenção imediata,False
avaria_37.ply,Rachadura,17.3249,103.5244,17.86,Crítico — intervenção imediata,False
avaria_38.ply,Rachadura,12.1319,120.4206,19.87,Crítico — intervenção imediata,False
avaria_39.ply,Rachadura,9.1282,16.8256,41.44,Crítico — intervenção imediata,False
avaria_4.ply,Rachadura,10.7749,472.4461,9.21,Crítico — intervenção imediata,False
avaria_40.ply,Rachadura,11.4876,145.0545,73.46,Crítico — intervenção imediata,False
avaria_41.ply,Rachadura,14.8490,106.4780,14.00,Crítico — intervenção imediata,False
avaria_42.ply,Rachadura,8.6855,96.3249,45.07,Crítico — intervenção imediata,False
avaria_6.ply,Rachadura,9.7867,14.4238,19.49,Crítico — intervenção imediata,False
avaria_7.ply,Rachadura,10.4587,375.2975,14.67,Crítico — intervenção imediata,False
avaria_9.ply,Rachadura,7.4134,19.0302,60.34,Crítico — intervenção imediata,False
