arquivo,n_pontos,n_rachaduras,pct_rachadura,severidade
avaria_10.ply,7971,625,7.84,media
avaria_12.ply,7636,1396,18.28,alta
avaria_13.ply,11880,7254,61.06,alta
avaria_17.ply,24367,20382,83.65,alta
avaria_19.ply,22914,13982,61.02,alta
avaria_2.ply,23988,1780,7.42,media
avaria_20.ply,15509,8534,55.03,alta
avaria_21.ply,1551,221,14.25,alta
avaria_22.ply,13463,5484,40.73,alta
avaria_24.ply,13209,4511,34.15,alta
avaria_26.ply,10816,3780,34.95,alta
avaria_27.ply,15827,2327,14.7,alta
avaria_28.ply,14855,2266,15.25,alta
avaria_29.ply,14147,3059,21.62,alta
avaria_3.ply,23924,1347,5.63,media
avaria_30.ply,20730,787,3.8,media
avaria_31.ply,7946,1061,13.35,alta
avaria_32.ply,23573,4328,18.36,alta
avaria_33.ply,23670,14191,59.95,alta
avaria_34.ply,15989,2009,12.56,alta
avaria_35.ply,17862,2088,11.69,alta
avaria_36.ply,15155,13116,86.55,alta
avaria_37.ply,6075,1085,17.86,alta
avaria_38.ply,19211,3817,19.87,alta
avaria_39.ply,18007,7463,41.44,alta
avaria_4.ply,16675,1536,9.21,media
avaria_40.ply,9095,6681,73.46,alta
avaria_41.ply,16355,2290,14.0,alta
avaria_42.ply,9628,4339,45.07,alta
avaria_6.ply,5176,1009,19.49,alta
avaria_7.ply,23923,3510,14.67,alta
avaria_9.ply,14898,8990,60.34,alta
