filename,n_crack,n_normal,auroc,f1,f1_dbscan,ap,thr
avaria_10.ply,1056,6915,0.9994,0.7466,0.0,0.9961,0.05
avaria_12.ply,440,7196,0.9961,0.845,0.0,0.9376,0.06
avaria_13.ply,794,11086,0.9973,0.9172,0.0,0.9636,0.26
avaria_17.ply,1020,23347,0.4913,0.0,0.0,0.0418,0.5
avaria_19.ply,2832,20082,0.8944,0.6489,0.3502,0.5544,0.15
avaria_2.ply,802,23186,0.9716,0.6202,0.0147,0.3424,0.95
avaria_20.ply,351,15158,0.9717,0.4922,0.0,0.3542,0.86
avaria_21.ply,94,1457,0.6068,0.1491,0.158,0.0708,0.07
avaria_22.ply,440,13023,0.9554,0.5302,0.0,0.3592,0.91
avaria_24.ply,809,12400,0.9189,0.4417,0.0,0.314,0.14
avaria_26.ply,736,10080,0.8039,0.3946,0.0,0.2501,0.05
avaria_27.ply,295,15532,0.941,0.4466,0.0,0.332,0.94
avaria_28.ply,325,14530,0.9672,0.699,0.0,0.5688,0.95
avaria_29.ply,157,13990,0.9572,0.6256,0.0,0.4871,0.67
avaria_3.ply,985,22939,0.996,0.859,0.0,0.9098,0.73
avaria_30.ply,577,20153,0.965,0.7591,0.0,0.6832,0.18
avaria_31.ply,382,7564,0.9995,0.9459,0.0,0.9907,0.89
avaria_32.ply,355,23218,0.9988,0.8683,0.0,0.9255,0.21
avaria_33.ply,1723,21947,0.5602,0.0,0.0,0.0871,0.5
avaria_34.ply,1306,14683,0.999,0.6224,0.0,0.9904,0.05
avaria_35.ply,3379,14483,0.9981,0.5254,0.0,0.9927,0.05
avaria_36.ply,1251,13904,0.9285,0.0,0.0,0.7471,0.5
avaria_37.ply,492,5583,0.9716,0.6529,0.0,0.6032,0.05
avaria_38.ply,588,18623,0.9752,0.4619,0.0482,0.4387,0.94
avaria_39.ply,395,17612,0.9989,0.8433,0.0,0.9578,0.05
avaria_4.ply,1826,14849,0.9935,0.8864,0.0184,0.9506,0.62
avaria_40.ply,627,8468,0.9979,0.0,0.0,0.9797,0.5
avaria_41.ply,3765,12590,0.9763,0.7774,0.0742,0.9429,0.05
avaria_6.ply,906,4270,0.9996,0.9752,0.7184,0.998,0.82
avaria_7.ply,1161,22762,0.9909,0.8001,0.0418,0.8192,0.78
avaria_9.ply,957,13941,0.997,0.9031,0.0,0.9583,0.68
